J;Kq;KT;Eff
0.45;0.0416;0.2655;0.4576
0.46;0.0413;0.2631;0.4661
0.47;0.0411;0.2606;0.4742
0.48;0.0408;0.258;0.4828
0.49;0.0405;0.2552;0.4918
0.5;0.0403;0.2527;0.4994
0.51;0.04;0.25;0.5075
0.52;0.0397;0.2472;0.5155
0.53;0.0394;0.2444;0.5234
0.54;0.0391;0.2415;0.5311
0.55;0.0388;0.2386;0.5387
0.56;0.0385;0.2357;0.5462
0.57;0.0381;0.2327;0.5535
0.58;0.0378;0.2297;0.5608
0.59;0.0375;0.2266;0.5679
0.6;0.0371;0.2235;0.5749
0.61;0.0368;0.2204;0.5817
0.62;0.0364;0.2173;0.5885
0.63;0.0361;0.2141;0.5951
0.64;0.0357;0.2109;0.6016
0.65;0.0353;0.2077;0.608
0.66;0.035;0.2044;0.6143
0.67;0.0346;0.2011;0.6205
0.68;0.0342;0.1978;0.6266
0.69;0.0338;0.1945;0.6325
0.7;0.0334;0.1911;0.6383
0.71;0.0329;0.1878;0.644
0.72;0.0325;0.1844;0.6496
0.73;0.0321;0.1809;0.655
0.74;0.0317;0.1775;0.6603
0.75;0.0312;0.174;0.6655
0.76;0.0308;0.1705;0.6705
0.77;0.0303;0.167;0.6754
0.78;0.0298;0.1635;0.6802
0.79;0.0294;0.1599;0.6848
0.8;0.0289;0.1563;0.6893
0.81;0.0284;0.1527;0.6936
0.82;0.0279;0.1491;0.6977
0.83;0.0274;0.1454;0.7016
0.84;0.0269;0.1417;0.7054
0.85;0.0263;0.138;0.7089
0.86;0.0258;0.1343;0.7123
0.87;0.0253;0.1306;0.7154
0.88;0.0247;0.1268;0.7183
0.89;0.0242;0.123;0.721
0.9;0.0236;0.1192;0.7234
0.91;0.023;0.1154;0.7254
0.92;0.0225;0.1115;0.7272
0.93;0.0219;0.1076;0.7287
0.94;0.0213;0.1037;0.7298
0.95;0.0207;0.0998;0.7304
0.96;0.02;0.0959;0.7307
0.97;0.0194;0.0919;0.7305
0.98;0.0188;0.088;0.7297
0.99;0.0182;0.0839;0.7283
1;0.0175;0.0799;0.7262
1.01;0.0169;0.0759;0.7234
1.02;0.0162;0.0718;0.7198
1.03;0.0155;0.0677;0.7151
1.04;0.0148;0.0636;0.7093
1.05;0.0141;0.0594;0.7022
1.06;0.0134;0.0552;0.6936
1.07;0.0127;0.0511;0.6833
1.08;0.012;0.0469;0.6707
1.09;0.0113;0.0427;0.6555
1.1;0.0106;0.0384;0.6371
1.11;0.0098;0.0341;0.6147
1.12;0.0091;0.0298;0.5872
1.13;0.0083;0.0255;0.5532
1.14;0.0075;0.0212;0.5105
1.15;0.0067;0.0168;0.456
1.16;0.0059;0.0124;0.3848
1.17;0.0051;0.008;0.2887
1.18;0.0043;0.0035;0.1534
;;;
;;;
